loading annotations into memory...
Done (t=0.98s)
creating index...
index created!
loading annotations into memory...
Done (t=0.63s)
creating index...
index created!
loading annotations into memory...
Done (t=1.14s)
creating index...
index created!
loading annotations into memory...
Done (t=0.46s)
creating index...
index created!
(684549, 'a')
(150605, 'on')
(142756, 'of')
(137949, 'the')
(128896, 'in')
(107691, 'with')
(98722, 'and')
(68662, 'is')
(51203, 'man')
(47728, 'to')
(36795, 'sitting')
(34980, 'an')
(34085, 'two')
(30016, 'standing')
(29842, 'at')
(29496, 'people')
(28809, 'are')
(25912, 'next')
(25172, 'white')
(23968, 'woman')
(21030, 'street')
(20926, 'table')
(19520, 'that')
(19433, 'holding')
(17169, 'person')
(17099, 'some')
(16980, 'large')
(16713, 'it')
(16404, 'down')
(15429, 'top')
(15239, 'group')
(14544, 'field')
(14511, 'up')
(13977, 'small')
(13713, 'near')
(13626, 'tennis')
(13604, 'his')
(13511, 'front')
(13311, 'black')
(12896, 'plate')
(12821, 'room')
(12717, 'train')
(12671, 'riding')
(12516, 'dog')
(11945, 'by')
(11932, 'young')
(11818, 'red')
(11666, 'cat')
(11378, 'water')
(11374, 'baseball')
(10522, 'has')
(10432, 'while')
(10307, 'walking')
(10253, 'playing')
(10034, 'bathroom')
(9609, 'sign')
(9452, 'blue')
(9272, 'kitchen')
(9254, 'food')
(9127, 'grass')
(8922, 'bus')
(8857, 'there')
(8762, 'parked')
(8642, 'green')
(8634, 'pizza')
(8520, 'side')
(8431, 'other')
(8342, 'looking')
(8303, 'building')
(8261, 'snow')
(7965, 'bed')
(7958, 'ball')
(7859, 'beach')
(7847, 'couple')
(7772, 'three')
(7727, 'boy')
(7644, 'for')
(7574, 'men')
(7281, 'flying')
(7168, 'city')
(7029, 'road')
(6975, 'skateboard')
(6951, 'out')
(6947, 'her')
(6937, 'wearing')
(6873, 'player')
(6839, 'clock')
(6777, 'game')
(6673, 'over')
(6619, 'several')
(6599, 'laying')
(6598, 'toilet')
(6544, 'girl')
(6530, 'from')
(6422, 'sits')
(6330, 'wooden')
(6132, 'picture')
(6126, 'bear')
(6123, 'their')
(6083, 'through')
(6059, 'around')
(6042, 'one')
(6021, 'bench')
(5989, 'area')
(5959, 'eating')
(5852, 'cake')
(5806, 'laptop')
(5772, 'horse')
(5745, 'yellow')
(5745, 'brown')
(5619, 'board')
(5540, 'giraffe')
(5536, 'frisbee')
(5510, 'phone')
(5453, 'computer')
(5438, 'living')
(5386, 'outside')
(5354, 'as')
(5344, 'air')
(5277, 'truck')
(5072, 'window')
(4979, 'desk')
(4905, 'motorcycle')
(4899, 'car')
(4890, 'umbrella')
(4886, 'trees')
(4873, 'each')
(4872, 'covered')
(4844, 'open')
(4829, 'tree')
(4814, 'many')
(4797, 'close')
(4766, 'park')
(4764, 'sink')
(4741, 'wall')
(4729, 'elephant')
(4692, 'this')
(4683, 'very')
(4666, 'behind')
(4578, 'old')
(4522, 'little')
(4497, 'filled')
(4479, 'under')
(4466, 'fire')
(4388, 'stop')
(4343, 'into')
(4342, 'sky')
(4281, 'court')
(4275, 'together')
(4172, 'kite')
(4154, 'child')
(4079, 'its')
(4026, 'bat')
(3989, 'inside')
(3978, 'surfboard')
(3972, 'skis')
(3966, 'background')
(3947, 'bowl')
(3925, 'photo')
(3919, 'sheep')
(3876, 'airplane')
(3870, 'back')
(3861, 'boat')
(3853, 'stands')
(3839, 'big')
(3772, 'bunch')
(3750, 'view')
(3703, 'ocean')
(3681, 'cell')
(3677, 'light')
(3665, 'glass')
(3643, 'bird')
(3637, 'traffic')
(3592, 'teddy')
(3590, 'hydrant')
(3579, 'plane')
(3550, 'chair')
(3545, 'zebra')
(3515, 'fence')
(3499, 'women')
(3494, 'another')
(3471, 'counter')
(3439, 'couch')
(3394, 'shirt')
(3385, 'mirror')
(3382, 'hand')
(3355, 'different')
(3352, 'orange')
(3325, 'sandwich')
(3302, 'horses')
(3296, 'wave')
(3292, 'sidewalk')
(3259, 'lot')
(3250, 'stand')
(3238, 'giraffes')
(3216, 'tall')
(3214, 'floor')
(3207, 'tracks')
(3181, 'vase')
(3173, 'flowers')
(3167, 'parking')
(3129, 'baby')
(3094, 'cars')
(3085, 'racket')
(3070, 'being')
(3039, 'ground')
(3015, 'grassy')
(2985, 'off')
(2947, 'elephants')
(2934, 'tower')
(2903, 'day')
(2900, 'tie')
(2884, 'zebras')
(2882, 'full')
(2875, 'along')
(2871, 'vegetables')
(2865, 'dirt')
(2863, 'middle')
(2846, 'ready')
(2804, 'hill')
(2789, 'image')
(2775, 'bananas')
(2717, 'sit')
(2702, 'driving')
(2699, 'slope')
(2693, 'bike')
(2677, 'stuffed')
(2677, 'station')
(2648, 'taking')
(2624, 'four')
(2622, 'signs')
(2566, 'skiing')
(2558, 'piece')
(2554, 'head')
(2538, 'above')
(2532, 'wine')
(2532, 'skate')
(2523, 'across')
(2514, 'beside')
(2502, 'grazing')
(2499, 'cows')
(2441, 'during')
(2439, 'luggage')
(2431, 'snowy')
(2416, 'wii')
(2398, 'long')
(2342, 'them')
(2337, 'hat')
(2328, 'doing')
(2321, 'holds')
(2321, 'hanging')
(2316, 'display')
(2300, 'pink')
(2281, 'mountain')
(2271, 'suit')
(2270, 'glasses')
(2267, 'herd')
(2249, 'kites')
(2237, 'ski')
(2222, 'refrigerator')
(2220, 'cow')
(2217, 'hot')
(2211, 'cutting')
(2189, 'double')
(2182, 'fruit')
(2181, 'going')
(2177, 'corner')
(2162, 'buildings')
(2151, 'camera')
(2150, 'pair')
(2144, 'pole')
(2142, 'children')
(2140, 'talking')
(2128, 'trick')
(2116, 'empty')
(2110, 'jumping')
(2098, 'swinging')
(2096, 'watching')
(2084, 'looks')
(2080, 'airport')
